code,name,description,refreshed_at,from_date,to_date
BOM500002,ABB India Limited EOD Prices,End of Day prices and additional trading information for ABB India Limited EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500003,AEGIS LOGISTICS LTD. EOD Prices,End of Day prices and additional trading information for AEGIS LOGISTICS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500008,AMARA RAJA BATTERIES LTD. EOD Prices,End of Day prices and additional trading information for AMARA RAJA BATTERIES LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500009,AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices,End of Day prices and additional trading information for AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500010,HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices,End of Day prices and additional trading information for HOUSING DEVELOPMENT FINANCE CORP.LTD. EOD Prices.,14-05-2021 14:18,03-01-1992,14-05-2021
BOM500012,ANDHRA PETROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for ANDHRA PETROCHEMICALS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices,End of Day prices and additional trading information for ANSAL PROPERTIES & INFRASTRUCTURE LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500014,Utique Enterprises Ltd EOD Prices,End of Day prices and additional trading information for Utique Enterprises Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500016,ARUNA HOTELS LTD. EOD Prices,End of Day prices and additional trading information for ARUNA HOTELS LTD. EOD Prices.,14-05-2021 14:19,16-03-2020,14-05-2021
BOM500020,BOMBAY DYEING & MFG.CO.LTD. EOD Prices,End of Day prices and additional trading information for BOMBAY DYEING & MFG.CO.LTD. EOD Prices.,14-05-2021 14:18,02-01-1991,14-05-2021
BOM500023,Asian Hotels (North) Limited EOD Prices,End of Day prices and additional trading information for Asian Hotels (North) Limited EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500024,Assam Company (India) Limited EOD Prices,End of Day prices and additional trading information for Assam Company (India) Limited EOD Prices.,14-05-2021 14:18,02-03-1992,29-10-2019
BOM500027,ATUL LTD. EOD Prices,End of Day prices and additional trading information for ATUL LTD. EOD Prices.,14-05-2021 14:18,03-03-1992,14-05-2021
BOM500028,ATV PROJECTS INDIA LTD. EOD Prices,End of Day prices and additional trading information for ATV PROJECTS INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500029,AUTOLITE (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for AUTOLITE (INDIA) LTD. EOD Prices.,14-05-2021 14:18,03-03-1992,10-05-2021
BOM500030,AUTORIDERS FINANCE LTD. EOD Prices,End of Day prices and additional trading information for AUTORIDERS FINANCE LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,01-06-2020
BOM500031,BAJAJ ELECTRICALS LTD.-$ EOD Prices,End of Day prices and additional trading information for BAJAJ ELECTRICALS LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500032,Bajaj Hindusthan Sugar Limited EOD Prices,End of Day prices and additional trading information for Bajaj Hindusthan Sugar Limited EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500033,FORCE MOTORS LTD.-$ EOD Prices,End of Day prices and additional trading information for FORCE MOTORS LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500034,Bajaj Finance Limited EOD Prices,End of Day prices and additional trading information for Bajaj Finance Limited EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500038,BALRAMPUR CHINI MILLS LTD. EOD Prices,End of Day prices and additional trading information for BALRAMPUR CHINI MILLS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500039,BANCO PRODUCTS (INDIA) LTD.-$ EOD Prices,End of Day prices and additional trading information for BANCO PRODUCTS (INDIA) LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500040,CENTURY TEXTILES & INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for CENTURY TEXTILES & INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,03-01-1991,14-05-2021
BOM500041,BANNARI AMMAN SUGARS LTD. EOD Prices,End of Day prices and additional trading information for BANNARI AMMAN SUGARS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500042,BASF INDIA LTD. EOD Prices,End of Day prices and additional trading information for BASF INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500043,BATA INDIA LTD. EOD Prices,End of Day prices and additional trading information for BATA INDIA LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500046,Best & Crompton Engg.ltd. EOD Prices,End of Day prices and additional trading information for Best & Crompton Engg.ltd. EOD Prices.,12-11-2015 11:56,03-03-1992,22-06-2015
BOM500048,BEML LTD. EOD Prices,End of Day prices and additional trading information for BEML LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500049,BHARAT ELECTRONICS LTD. EOD Prices,End of Day prices and additional trading information for BHARAT ELECTRONICS LTD. EOD Prices.,14-05-2021 14:18,18-05-1995,14-05-2021
BOM500051,Bhagawati Gas Limited EOD Prices,End of Day prices and additional trading information for Bhagawati Gas Limited EOD Prices.,14-05-2021 14:18,02-05-1995,20-02-2017
BOM500052,BHANSALI ENGINEERING POLYMERS LTD.-$ EOD Prices,End of Day prices and additional trading information for BHANSALI ENGINEERING POLYMERS LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500055,Tata Steel Bsl Ltd EOD Prices,End of Day prices and additional trading information for Tata Steel Bsl Ltd EOD Prices.,14-05-2021 14:18,14-09-2015,14-05-2021
BOM500057,ADITYA BIRLA CHEMICALS (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for ADITYA BIRLA CHEMICALS (INDIA) LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,13-01-2016
BOM500058,BIHAR SPONGE IRON LTD. EOD Prices,End of Day prices and additional trading information for BIHAR SPONGE IRON LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500059,BINANI INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for BINANI INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,26-05-2020
BOM500060,Birla Cable Ltd EOD Prices,End of Day prices and additional trading information for Birla Cable Ltd EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500067,BLUE STAR LTD. EOD Prices,End of Day prices and additional trading information for BLUE STAR LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500068,DISA INDIA LTD. EOD Prices,End of Day prices and additional trading information for DISA INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500069,BNK CAPITAL MARKETS LTD. EOD Prices,End of Day prices and additional trading information for BNK CAPITAL MARKETS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500074,BPL LTD. EOD Prices,End of Day prices and additional trading information for BPL LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500077,Cable Corporation Of India Ltd. EOD Prices,End of Day prices and additional trading information for Cable Corporation Of India Ltd. EOD Prices.,12-11-2015 11:56,02-03-1992,08-01-2014
BOM500078,Oriental Aromatics Ltd-$ EOD Prices,End of Day prices and additional trading information for Oriental Aromatics Ltd-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500083,CENTURY EXTRUSIONS LTD. EOD Prices,End of Day prices and additional trading information for CENTURY EXTRUSIONS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500084,CESC LTD. EOD Prices,End of Day prices and additional trading information for CESC LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500085,CHAMBAL FERTILISERS & CHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for CHAMBAL FERTILISERS & CHEMICALS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500086,EXIDE INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for EXIDE INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,11-03-1992,14-05-2021
BOM500087,CIPLA LTD. EOD Prices,End of Day prices and additional trading information for CIPLA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500089,DIC INDIA LTD. EOD Prices,End of Day prices and additional trading information for DIC INDIA LTD. EOD Prices.,14-05-2021 14:18,12-03-1992,14-05-2021
BOM500092,CRISIL LTD. EOD Prices,End of Day prices and additional trading information for CRISIL LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500093,CG Power and Industrial Solutions Ltd EOD Prices,End of Day prices and additional trading information for CG Power and Industrial Solutions Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500095,Wyeth Ltd. EOD Prices,End of Day prices and additional trading information for Wyeth Ltd. EOD Prices.,12-11-2015 11:56,02-03-1992,09-12-2014
BOM500096,DABUR INDIA LTD. EOD Prices,End of Day prices and additional trading information for DABUR INDIA LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500097,Dalmia Bharat Sugar and Industries Ltd EOD Prices,End of Day prices and additional trading information for Dalmia Bharat Sugar and Industries Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500101,ARVIND LTD. EOD Prices,End of Day prices and additional trading information for ARVIND LTD. EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500102,BALLARPUR INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for BALLARPUR INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,14-09-2015,14-05-2021
BOM500103,BHARAT HEAVY ELECTRICALS LTD. EOD Prices,End of Day prices and additional trading information for BHARAT HEAVY ELECTRICALS LTD. EOD Prices.,14-05-2021 14:18,14-09-2015,14-05-2021
BOM500104,HINDUSTAN PETROLEUM CORPORATION LTD. EOD Prices,End of Day prices and additional trading information for HINDUSTAN PETROLEUM CORPORATION LTD. EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500106,IFCI LTD. EOD Prices,End of Day prices and additional trading information for IFCI LTD. EOD Prices.,14-05-2021 14:18,14-09-2015,14-05-2021
BOM500108,MAHANAGAR TELEPHONE NIGAM LTD. EOD Prices,End of Day prices and additional trading information for MAHANAGAR TELEPHONE NIGAM LTD. EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500109,MANGALORE REFINERY & PETROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for MANGALORE REFINERY & PETROCHEMICALS LTD. EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500110,CHENNAI PETROLEUM CORPORATION LTD. EOD Prices,End of Day prices and additional trading information for CHENNAI PETROLEUM CORPORATION LTD. EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500111,RELIANCE CAPITAL LTD. EOD Prices,End of Day prices and additional trading information for RELIANCE CAPITAL LTD. EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500112,STATE BANK OF INDIA EOD Prices,End of Day prices and additional trading information for STATE BANK OF INDIA EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500113,STEEL AUTHORITY OF INDIA LTD. EOD Prices,End of Day prices and additional trading information for STEEL AUTHORITY OF INDIA LTD. EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500114,Titan Company Limited EOD Prices,End of Day prices and additional trading information for Titan Company Limited EOD Prices.,14-05-2021 14:18,05-05-1995,14-05-2021
BOM500116,IDBI BANK LTD. EOD Prices,End of Day prices and additional trading information for IDBI BANK LTD. EOD Prices.,14-05-2021 14:18,20-09-1995,14-05-2021
BOM500117,DCW LTD. EOD Prices,End of Day prices and additional trading information for DCW LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500119,DHAMPUR SUGAR MILLS LTD. EOD Prices,End of Day prices and additional trading information for DHAMPUR SUGAR MILLS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500120,DIAMINES & CHEMICALS LTD.-$ EOD Prices,End of Day prices and additional trading information for DIAMINES & CHEMICALS LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500123,ELANTAS BECK INDIA LTD.-$ EOD Prices,End of Day prices and additional trading information for ELANTAS BECK INDIA LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500124,DR.REDDY'S LABORATORIES LTD. EOD Prices,End of Day prices and additional trading information for DR.REDDY'S LABORATORIES LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500125,E.I.D.-PARRY (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for E.I.D.-PARRY (INDIA) LTD. EOD Prices.,14-05-2021 14:18,13-03-1992,14-05-2021
BOM500126,Procter & Gamble Health Ltd EOD Prices,End of Day prices and additional trading information for Procter & Gamble Health Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500128,ELECTROSTEEL CASTINGS LTD. EOD Prices,End of Day prices and additional trading information for ELECTROSTEEL CASTINGS LTD. EOD Prices.,14-05-2021 14:18,10-03-1992,14-05-2021
BOM500132,EMPEE SUGARS & CHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for EMPEE SUGARS & CHEMICALS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,03-02-2020
BOM500133,ESAB INDIA LTD. EOD Prices,End of Day prices and additional trading information for ESAB INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500134,ESSAR OIL LTD. EOD Prices,End of Day prices and additional trading information for ESSAR OIL LTD. EOD Prices.,14-05-2021 14:18,02-04-1996,09-02-2016
BOM500135,EPL Ltd EOD Prices,End of Day prices and additional trading information for EPL Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500136,ESTER INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for ESTER INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500139,Fedders Electric and Engineering Ltd EOD Prices,End of Day prices and additional trading information for Fedders Electric and Engineering Ltd EOD Prices.,14-05-2021 14:18,02-05-1995,17-06-2019
BOM500141,FERRO ALLOYS CORPORATION LTD. EOD Prices,End of Day prices and additional trading information for FERRO ALLOYS CORPORATION LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,06-03-2020
BOM500142,FGP LTD. EOD Prices,End of Day prices and additional trading information for FGP LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500143,PH CAPITAL LTD. EOD Prices,End of Day prices and additional trading information for PH CAPITAL LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500144,FINOLEX CABLES LTD. EOD Prices,End of Day prices and additional trading information for FINOLEX CABLES LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500145,First Leasing Co.of India Ltd. EOD Prices,End of Day prices and additional trading information for First Leasing Co.of India Ltd. EOD Prices.,12-11-2015 11:56,02-03-1992,30-03-2015
BOM500147,John Cockerill India Ltd-$ EOD Prices,End of Day prices and additional trading information for John Cockerill India Ltd-$ EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500148,UFLEX LTD. EOD Prices,End of Day prices and additional trading information for UFLEX LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500150,FOSECO INDIA LTD. EOD Prices,End of Day prices and additional trading information for FOSECO INDIA LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500151,GOLDEN TOBACCO LTD. EOD Prices,End of Day prices and additional trading information for GOLDEN TOBACCO LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500153,GANESH BENZOPLAST LTD. EOD Prices,End of Day prices and additional trading information for GANESH BENZOPLAST LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500155,GARDEN SILK MILLS LTD. EOD Prices,End of Day prices and additional trading information for GARDEN SILK MILLS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,25-01-2021
BOM500159,Metroglobal Limited EOD Prices,End of Day prices and additional trading information for Metroglobal Limited EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500160,GTL LTD. EOD Prices,End of Day prices and additional trading information for GTL LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500162,PARRYS SUGAR INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for PARRYS SUGAR INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,24-05-2017
BOM500163,GODFREY PHILLIPS INDIA LTD. EOD Prices,End of Day prices and additional trading information for GODFREY PHILLIPS INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500164,GODREJ INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for GODREJ INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500165,KANSAI NEROLAC PAINTS LTD. EOD Prices,End of Day prices and additional trading information for KANSAI NEROLAC PAINTS LTD. EOD Prices.,14-05-2021 14:18,10-03-1992,14-05-2021
BOM500166,GOODRICKE GROUP LTD. EOD Prices,End of Day prices and additional trading information for GOODRICKE GROUP LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500168,GOODYEAR INDIA LTD. EOD Prices,End of Day prices and additional trading information for GOODYEAR INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500170,GTN INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for GTN INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500171,GHCL LTD. EOD Prices,End of Day prices and additional trading information for GHCL LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500173,GFL Ltd EOD Prices,End of Day prices and additional trading information for GFL Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500174,GUJARAT LEASE FINANCING LTD. EOD Prices,End of Day prices and additional trading information for GUJARAT LEASE FINANCING LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500179,HCL INFOSYSTEMS LTD. EOD Prices,End of Day prices and additional trading information for HCL INFOSYSTEMS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500180,HDFC Bank Ltd EOD Prices,End of Day prices and additional trading information for HDFC Bank Ltd EOD Prices.,14-05-2021 14:18,26-05-1995,14-05-2021
BOM500182,HERO MOTOCORP LTD. EOD Prices,End of Day prices and additional trading information for HERO MOTOCORP LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500183,HFCL Ltd EOD Prices,End of Day prices and additional trading information for HFCL Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500184,Himadri Speciality Chemical Ltd EOD Prices,End of Day prices and additional trading information for Himadri Speciality Chemical Ltd EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500185,HINDUSTAN CONSTRUCTION CO.LTD. EOD Prices,End of Day prices and additional trading information for HINDUSTAN CONSTRUCTION CO.LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500186,HINDUSTAN OIL EXPLORATION CO.LTD. EOD Prices,End of Day prices and additional trading information for HINDUSTAN OIL EXPLORATION CO.LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500187,HSIL LTD. EOD Prices,End of Day prices and additional trading information for HSIL LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500188,HINDUSTAN ZINC LTD. EOD Prices,End of Day prices and additional trading information for HINDUSTAN ZINC LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500189,Nxtdigital Ltd EOD Prices,End of Day prices and additional trading information for Nxtdigital Ltd EOD Prices.,14-05-2021 14:18,08-05-1995,14-05-2021
BOM500191,HMT LTD. EOD Prices,End of Day prices and additional trading information for HMT LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500192,PRAG BOSIMI SYNTHETICS LTD. EOD Prices,End of Day prices and additional trading information for PRAG BOSIMI SYNTHETICS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500193,HLV Ltd EOD Prices,End of Day prices and additional trading information for HLV Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500199,I G PETROCHEMICALS LTD. EOD Prices,End of Day prices and additional trading information for I G PETROCHEMICALS LTD. EOD Prices.,14-05-2021 14:18,03-03-1992,14-05-2021
BOM500201,INDIA GLYCOLS LTD. EOD Prices,End of Day prices and additional trading information for INDIA GLYCOLS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500202,INDIA LEASE DEVELOPMENT LTD. EOD Prices,End of Day prices and additional trading information for INDIA LEASE DEVELOPMENT LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,12-05-2021
BOM500206,Margo Finance Limited EOD Prices,End of Day prices and additional trading information for Margo Finance Limited EOD Prices.,12-11-2015 11:56,02-05-1995,26-08-2015
BOM500207,INDO RAMA SYNTHETICS (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for INDO RAMA SYNTHETICS (INDIA) LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500209,INFOSYS LTD. EOD Prices,End of Day prices and additional trading information for INFOSYS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500210,INGERSOLL-RAND (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for INGERSOLL-RAND (INDIA) LTD. EOD Prices.,14-05-2021 14:18,03-01-1991,14-05-2021
BOM500211,INSILCO LTD. EOD Prices,End of Day prices and additional trading information for INSILCO LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500212,INTEGRATED FINANCIAL SERVICES LTD. EOD Prices,End of Day prices and additional trading information for INTEGRATED FINANCIAL SERVICES LTD. EOD Prices.,14-05-2021 14:18,16-04-1996,14-05-2021
BOM500213,INTERNATIONAL TRAVEL HOUSE LTD.-$ EOD Prices,End of Day prices and additional trading information for INTERNATIONAL TRAVEL HOUSE LTD.-$ EOD Prices.,14-05-2021 14:18,03-05-1995,14-05-2021
BOM500214,ION EXCHANGE (INDIA) LTD.-$ EOD Prices,End of Day prices and additional trading information for ION EXCHANGE (INDIA) LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500215,AGRO TECH FOODS LTD. EOD Prices,End of Day prices and additional trading information for AGRO TECH FOODS LTD. EOD Prices.,14-05-2021 14:18,03-03-1992,14-05-2021
BOM500219,JAIN IRRIGATION SYSTEMS LTD. EOD Prices,End of Day prices and additional trading information for JAIN IRRIGATION SYSTEMS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500220,JASCH INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for JASCH INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500222,JCT ELECTRONICS LTD. EOD Prices,End of Day prices and additional trading information for JCT ELECTRONICS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,19-05-2016
BOM500223,JCT LTD. EOD Prices,End of Day prices and additional trading information for JCT LTD. EOD Prices.,14-05-2021 14:18,11-03-1992,14-05-2021
BOM500227,JINDAL POLY FILMS LTD. EOD Prices,End of Day prices and additional trading information for JINDAL POLY FILMS LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500228,JSW STEEL LTD. EOD Prices,End of Day prices and additional trading information for JSW STEEL LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500231,UMANG DAIRIES LTD. EOD Prices,End of Day prices and additional trading information for UMANG DAIRIES LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500233,KAJARIA CERAMICS LTD. EOD Prices,End of Day prices and additional trading information for KAJARIA CERAMICS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for KAKATIYA CEMENT SUGAR & INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500235,KALYANI STEELS LTD. EOD Prices,End of Day prices and additional trading information for KALYANI STEELS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500236,Kanel Industries Limited EOD Prices,End of Day prices and additional trading information for Kanel Industries Limited EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500238,WHIRLPOOL OF INDIA LTD. EOD Prices,End of Day prices and additional trading information for WHIRLPOOL OF INDIA LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500239,KG DENIM LTD. EOD Prices,End of Day prices and additional trading information for KG DENIM LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500240,KINETIC ENGINEERING LTD. EOD Prices,End of Day prices and additional trading information for KINETIC ENGINEERING LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500241,KIRLOSKAR BROTHERS LTD.-$ EOD Prices,End of Day prices and additional trading information for KIRLOSKAR BROTHERS LTD.-$ EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500243,Kirloskar Industries Ltd EOD Prices,End of Day prices and additional trading information for Kirloskar Industries Ltd EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500245,KIRLOSKAR FERROUS INDUSTRIES LTD. EOD Prices,End of Day prices and additional trading information for KIRLOSKAR FERROUS INDUSTRIES LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500246,ENVAIR ELECTRODYNE LTD. EOD Prices,End of Day prices and additional trading information for ENVAIR ELECTRODYNE LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500247,KOTAK MAHINDRA BANK LTD. EOD Prices,End of Day prices and additional trading information for KOTAK MAHINDRA BANK LTD. EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500248,Krishna Filament Industries Ltd EOD Prices,End of Day prices and additional trading information for Krishna Filament Industries Ltd EOD Prices.,14-05-2021 14:18,02-05-1995,14-05-2021
BOM500249,KSB Ltd EOD Prices,End of Day prices and additional trading information for KSB Ltd EOD Prices.,14-05-2021 14:18,03-03-1992,14-05-2021
BOM500250,L.G.BALAKRISHNAN & BROS.LTD. EOD Prices,End of Day prices and additional trading information for L.G.BALAKRISHNAN & BROS.LTD. EOD Prices.,14-05-2021 14:18,16-04-1996,14-05-2021
BOM500251,TRENT LTD. EOD Prices,End of Day prices and additional trading information for TRENT LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500252,LAKSHMI MACHINE WORKS LTD. EOD Prices,End of Day prices and additional trading information for LAKSHMI MACHINE WORKS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,14-05-2021
BOM500253,LIC HOUSING FINANCE LTD. EOD Prices,End of Day prices and additional trading information for LIC HOUSING FINANCE LTD. EOD Prices.,14-05-2021 14:18,14-09-2015,14-05-2021
BOM500254,UTTAM VALUE STEELS LTD. EOD Prices,End of Day prices and additional trading information for UTTAM VALUE STEELS LTD. EOD Prices.,14-05-2021 14:18,02-03-1992,20-11-2020
