code,name,description,refreshed_at,from_date,to_date
BOM539017,Akme Star Housing Finance Ltd EOD Prices,End of Day prices and additional trading information for Akme Star Housing Finance Ltd EOD Prices.,14-05-2021 14:19,20-03-2015,14-05-2021
BOM539018,Beekay Steel Industries Ltd EOD Prices,End of Day prices and additional trading information for Beekay Steel Industries Ltd EOD Prices.,14-05-2021 14:19,25-03-2015,14-05-2021
BOM539026,SSPN Finance Ltd EOD Prices,End of Day prices and additional trading information for SSPN Finance Ltd EOD Prices.,14-05-2021 14:19,26-03-2015,14-05-2021
BOM539031,SBI Mutual Fund - SBI - ETF BSE 100 EOD Prices,End of Day prices and additional trading information for SBI Mutual Fund - SBI - ETF BSE 100 EOD Prices.,14-05-2021 14:19,27-03-2015,14-05-2021
BOM539032,Fraser and Company Ltd EOD Prices,End of Day prices and additional trading information for Fraser and Company Ltd EOD Prices.,14-05-2021 14:19,27-03-2015,14-05-2021
BOM539040,Tirupati Tyres Ltd EOD Prices,End of Day prices and additional trading information for Tirupati Tyres Ltd EOD Prices.,14-05-2021 14:19,27-03-2015,14-05-2021
BOM539041,SVP Housing Ltd EOD Prices,End of Day prices and additional trading information for SVP Housing Ltd EOD Prices.,14-05-2021 14:19,27-03-2015,12-05-2021
BOM539042,AGI Infra Ltd EOD Prices,End of Day prices and additional trading information for AGI Infra Ltd EOD Prices.,14-05-2021 14:19,27-03-2015,14-05-2021
BOM539043,BKM Industries Ltd EOD Prices,End of Day prices and additional trading information for BKM Industries Ltd EOD Prices.,14-05-2021 14:19,30-03-2015,14-05-2021
BOM539044,Manaksia Steels Ltd EOD Prices,End of Day prices and additional trading information for Manaksia Steels Ltd EOD Prices.,14-05-2021 14:19,30-03-2015,14-05-2021
BOM539045,Manaksia Aluminium Company Ltd EOD Prices,End of Day prices and additional trading information for Manaksia Aluminium Company Ltd EOD Prices.,14-05-2021 14:19,30-03-2015,14-05-2021
BOM539046,Manaksia Coated Metals & Industries Ltd EOD Prices,End of Day prices and additional trading information for Manaksia Coated Metals & Industries Ltd EOD Prices.,14-05-2021 14:19,30-03-2015,14-05-2021
BOM539052,Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 5 REGULAR GROWTH EOD Prices,End of Day prices and additional trading information for Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 5 REGULAR GROWTH EOD Prices.,14-05-2021 14:19,09-10-2015,12-03-2018
BOM539053,Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 5 REGULAR DIVIDEND EOD Prices,End of Day prices and additional trading information for Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 5 REGULAR DIVIDEND EOD Prices.,14-05-2021 14:19,15-03-2018,15-03-2018
BOM539054,Aditya Birla Sun Life Focused Equity Fund - Series 5 Direct Growth EOD Prices,End of Day prices and additional trading information for Aditya Birla Sun Life Focused Equity Fund - Series 5 Direct Growth EOD Prices.,,,
BOM539055,Aditya Birla Sun Life Focused Equity Fund - Series 5 Direct Dividend EOD Prices,End of Day prices and additional trading information for Aditya Birla Sun Life Focused Equity Fund - Series 5 Direct Dividend EOD Prices.,,,
