ticker,issuer_name
CANDC,C & C Constructions Ltd. (EQCANDC)
CANFINHOME,Can Fin Homes Ltd. (EQCANFINHOME)
CANTABIL,Cantabil Retail India Ltd (EQCANTABIL)
CAPACITE,Capacit`e Infraprojects Ltd. (EQCAPACITE)
CAPF,Capital First Ltd. (EQCAPF)
CAPLIPOINT,Caplin Point Laboratories Ltd. (EQCAPLIPOINT)
CAPTRUST,Capital Trust Ltd. (EQCAPTRUST)
CARBORUNIV,Carborundum Universal Ltd. (EQCARBORUNIV)
CAREERP,Career Point Ltd (EQCAREERP)
CARERATING,CARE Ratings Ltd. (EQCARERATING)
CAROLINFO,Carol Info Services Ltd (EQCAROLINFO)
CASTEXTECH,Castex Technologies Ltd. (EQCASTEXTECH)
CASTROLIND,Castrol (India) Ltd. (EQCASTROLIND)
CCCL,Consolidated Construction Consortium Ltd. (EQCCCL)
CCHHL,Country Club Hospitality & Holidays Ltd. (EQCCHHL)
CCL,CCL Products (India) Ltd. (EQCCL)
CDSL,Central Depository Services (India) Ltd. (EQCDSL)
CEATLTD,Ceat Ltd. (EQCEATLTD)
CEBBCO,Commercial Engineers & Body Builders Co Limited (EQCEBBCO)
CELEBRITY,Celebrity Fashions Ltd. (EQCELEBRITY)
CELESTIAL,Celestial Biolabs Ltd (EQCELESTIAL)
CENTBOP,Centurion Bank of Punjab Ltd. (EQCENTBOP)
CENTENKA,Century Enka Ltd. (EQCENTENKA)
CENTEXT,Century Extrusions Ltd. (EQCENTEXT)
CENTRALBK,Central Bank of India (EQCENTRALBK)
CENTRUM,Centrum Capital Ltd. (EQCENTRUM)
CENTUM,Centum Electronics Ltd. (EQCENTUM)
CENTURYPLY,Century Plyboards (India) Ltd. (EQCENTURYPLY)
CENTURYTEX,Century Textile & Industries Ltd. (EQCENTURYTEX)
CERA,Cera Sanitaryware Ltd. (EQCERA)
CEREBRAINT,Cerebra Integrated Technologies Ltd. (EQCEREBRAINT)
CESC,CESC Ltd. (EQCESC)
CGCL,Capri Global Capital Ltd (EQCGCL)
CGPOWER,CG Power & Industrial Solutions Ltd. (EQCGPOWER)
CHALET,Chalet Hotels Ltd. (EQCHALET)
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd. (EQCHAMBLFERT)
CHEMBOND,Chembond Chemicals Ltd. (EQCHEMBOND)
CHEMCON,Chemcon Speciality Chemicals Ltd. (EQCHEMCON)
CHEMFAB,Chemfab Alkalis Ltd (EQCHEMFAB)
CHEMFALKAL,Chemfab Alkalis Ltd. (EQCHEMFALKAL)
CHEMPLAST,Chemplast Sanmar Ltd. (EQCHEMPLAST)
CHENNPETRO,Chennai Petroleum Corporation Ltd. (EQCHENNPETRO)
CHESLINTEX,Cheslind Textiles Ltd. (EQCHESLINTEX)
CHETTINAD,Chettinad Cement Corporation Ltd. (EQCHETTINAD)
CHI,CHI Investments Ltd (CHI) (EQCHI)
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd. (EQCHOLAFIN)
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd. (EQCHOLAHLDNG)
CHROMATIC,Chromatic India Ltd. (EQCHROMATIC)
CIGNITITEC,Cigniti Technologies Ltd (EQCIGNITITEC)
CIMMCO,Cimmco Ltd. (EQCIMMCO)
CINELINE,Cineline India Ltd (EQCINELINE)
CINEMAXIN,Cinemax India Ltd (EQCINEMAXIN)
CINEVISTA,Cinevista Ltd (EQCINEVISTA)
CIPLA,Cipla Ltd. (EQCIPLA)
CKFSL,Cox & Kings Financial Service Ltd. (EQCKFSL)
CLASSIC,Classic Diamonds (India) Ltd. (EQCLASSIC)
CLEDUCATE,CL Educate Ltd (EQCLEDUCATE)
CLNINDIA,Clariant Chemicals (India) Ltd. (EQCLNINDIA)
CLUTCHAUTO,Clutch Auto Ltd. (EQCLUTCHAUTO)
CMAHENDRA,C. Mahendra Ltd (EQCMAHENDRA)
CMC,CMC Ltd. (EQCMC)
CMICABLES,CMI Ltd. (India) (EQCMICABLES)
CNOVAPETRO,CIL Nova Petrochemicals Ltd (EQCNOVAPETRO)
COALINDIA,Coal India Limited (EQCOALINDIA)
COCHINSHIP,Cochin Shipyard Ltd (EQCOCHINSHIP)
COFFEEDAY,Coffee Day Enterprises Ltd (EQCOFFEEDAY)
COFFEEDAY_1,COFFEE DAY ENTERPRISE LTD (EQCOFFEEDAY)
COFORGE,Coforge Ltd. (EQCOFORGE)
COLPAL,Colgate-Palmolive (India) Ltd. (EQCOLPAL)
COMPINFO,Compuage Infocom Ltd (EQCOMPINFO)
COMPUSOFT,Compucom Software Ltd. (EQCOMPUSOFT)
COMPUTECH,Computech International Ltd. (EQCOMPUTECH)
COMSYS,Compulink Systems Ltd. (EQCOMSYS)
CONCOR,Container Corporation of India Ltd. (EQCONCOR)
CONFIPET,Confidence Petroleum India Ltd. (EQCONFIPET)
CONSOFINVT,Consolidated Finvest & Holdings Ltd. (EQCONSOFINVT)
CONTROLPR,Control Print Ltd (EQCONTROLPR)
CORALFINAC,Coral India Finance & Housing Ltd. (EQCORALFINAC)
CORAL_HUB,Coral Hub Ltd. (EQCORAL-HUB)
CORDSCABLE,Cords Cable Industries Ltd (EQCORDSCABLE)
COREEDUTEC,Core Education & Technologies Ltd (EQCOREEDUTEC)
COROENGG,Coromandel Engineering Co. Ltd. (EQCOROENGG)
COROMANDEL,Coromandel International Ltd (EQCOROMANDEL)
CORPBANK,Corporation Bank (EQCORPBANK)
COSMOFILMS,Cosmo Films Ltd. (EQCOSMOFILMS)
COUNCODOS,Country Condo`s Ltd (EQCOUNCODOS)
COX_KINGS,Cox and Kings Ltd. (EQCOX&KINGS)
CPSEETF,Nippon Life India Asset Management Ltd. (EQCPSEETF)
CRANESSOFT,Cranes Software International Ltd. (EQCRANESSOFT)
CREATIVE,Creative Peripherals & Distribution Ltd (EQCREATIVE)
CREATIVEYE,Creative Eye Ltd. (EQCREATIVEYE)
CREDITACC,CreditAccess Grameen Ltd. (EQCREDITACC)
CREST,Crest Ventures Ltd. (EQCREST)
CRESTANI,Crest Animation Studios Ltd. (EQCRESTANI)
CREWBOS,Crew B.O.S. Products Ltd. (EQCREWBOS)
CRISIL,Crisil Ltd. (EQCRISIL)
CRMFGETF,Canara Robeco Asset Management Company Ltd (EQCRMFGETF)
CROMPTON,Crompton Greaves Consumer Electrical Ltd (EQCROMPTON)
CSBBANK,CSB Bank Ltd. (EQCSBBANK)
CTE,Cambridge Technology Enterprises Ltd. (EQCTE)
CUB,City Union Bank Ltd. (EQCUB)
CUBEXTUB,Cubex Tubings Ltd. (EQCUBEXTUB)
CUMMINSIND,Cummins India Ltd. (EQCUMMINSIND)
CUPID,Cupid Ltd. (EQCUPID)
CURATECH,Cura Technologies Ltd (EQCURATECH)
CYBERMEDIA,Cyber Media (India) Ltd. (EQCYBERMEDIA)
CYBERTECH,Cybertech Systems & Software Ltd. (EQCYBERTECH)
CYIENT,Cyient Ltd. (EQCYIENT)
D1ESCORTS,Escorts Ltd. (D1ESCORTS)
D1LGBROS,1% SEC. OPT. CONV. BONDS (D1LGBROS)
D1LGBROS_2,(D1LGBROS)
D1TINPLATE,Tinplate Company of India Ltd. (D1TINPLATE)
D2TATAINVEST,(D2TATAINVEST)
D3TATAINVEST,Tata Investment Corporation Ltd. (D3TATAINVEST)
DAAWAT,LT Foods Ltd. (EQDAAWAT)
DABUR,Dabur India Ltd. (EQDABUR)
DALBHARAT,Dalmia Bharat Ltd. (EQDALBHARAT)
DALMIABHA,Dalmia Bharat Ltd (EQDALMIABHA)
DALMIAREF,Dalmia Refractories Ltd. (EQDALMIAREF)
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd (EQDALMIASUG)
DAMODARIND,Damodar Industries Ltd (EQDAMODARIND)
DANGEE,Dangee Dums Ltd. (EQDANGEE)
DATAMATICS,Datamatics Global Services Ltd (EQDATAMATICS)
DBCORP,D.B. Corp Limited (EQDBCORP)
DBL,Dilip Buildcon Ltd (EQDBL)
DBREALTY,D B Realty Limited (EQDBREALTY)
DBSTOCKBRO,DB (International) Stock Brokers Ltd. (EQDBSTOCKBRO)
DCAL,Dishman Carbogen Amcis Ltd. (EQDCAL)
DCBBANK,DCB Bank Ltd. (EQDCBBANK)
DCHL,Deccan Chronicle Holdings Ltd. (EQDCHL)
DCM,DCM Ltd. (EQDCM)
DCMFINSERV,DCM Financial Services Ltd. (EQDCMFINSERV)
DCMNVL,DCM Nouvelle Ltd. (EQDCMNVL)
DCMSHRIRAM,DCM Shriram Ltd. (EQDCMSHRIRAM)
DCW,DCW Ltd. (EQDCW)
DECCANCE,Deccan Cements Ltd. (EQDECCANCE)
DECOLIGHT,Decolight Ceramics Ltd. (EQDECOLIGHT)
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd. (EQDEEPAKFERT)
DEEPAKNTR,Deepak Nitrite Ltd. (EQDEEPAKNTR)
DEEPAK_RE,Deepak Fertilisers & Petrochemicals Corp. Ltd. (EQDEEPAK-RE)
DEEPENR,Deep Energy Resources Ltd. (EQDEEPENR)
DELTACORP,Delta Corp Ltd (EQDELTACORP)
DELTAMAGNT,Delta Manufacturing Ltd. (EQDELTAMAGNT)
DEN,Den Networks Limited (EQDEN)
DENABANK,Dena Bank (EQDENABANK)
DENORA,De Nora India Ltd. (EQDENORA)
DENSO,Denso India Ltd. (EQDENSO)
DFMFOODS,DFM Foods Ltd. (EQDFMFOODS)
DGCONTENT,Digicontent Ltd. (EQDGCONTENT)
DHAMPURSUG,Dhampur Sugar Mills Ltd (EQDHAMPURSUG)
DHANBANK,Dhanlaxmi Bank Ltd. (EQDHANBANK)
DHANI,Dhani Services Ltd. (EQDHANI)
DHANUKA,Dhanuka Agritech Ltd (EQDHANUKA)
DHANUS,Dhanus Technologies Ltd. (EQDHANUS)
DHARSUGAR,Dharani Sugars & Chemicals Ltd. (EQDHARSUGAR)
DHFL,Dewan Housing Finance Corporation Ltd. (EQDHFL)
DHUNINV,Dhunseri Investments Ltd (EQDHUNINV)
DIAMONDYD,Prataap Snacks Ltd. (EQDIAMONDYD)
DIAPOWER,Diamond Power Infrastructure Ltd. (EQDIAPOWER)
DICIND,DIC India Ltd. (EQDICIND)
DIGISPICE,DiGiSPICE Technologies Ltd. (EQDIGISPICE)
DIGJAM,Digjam Ltd (EQDIGJAM)
DIGJAMLTD,Digjam Ltd. (EQDIGJAMLTD)
DISHMAN,Dishman Pharmaceuticals & Chemicals Ltd. (EQDISHMAN)
DISHTV,Dish TV India Ltd (EQDISHTV)
DIVISLAB,Divi`s Laboratories Ltd. (EQDIVISLAB)
DIXON,Dixon Technologies (India) Ltd (EQDIXON)
DLF,DLF Ltd. (EQDLF)
DLINKINDIA,D-Link (India) Ltd. (EQDLINKINDIA)
DMART,Avenue Supermarts Ltd (EQDMART)
DNAMEDIA,Diligent Media Corporation Limited (EQDNAMEDIA)
DOLAT,Dolat Investments Ltd. (EQDOLAT)
DOLLAR,Dollar Industries Ltd (EQDOLLAR)
DOLPHINOFF,Dolphin Offshore Enterprises (India) Ltd. (EQDOLPHINOFF)
DONEAR,Donear Industries Ltd. (EQDONEAR)
DPABHUSHAN,D. P. Abhushan Ltd. (EQDPABHUSHAN)
DPSCLTD,India Power Corporation Ltd (EQDPSCLTD)
DPWIRES,D P Wires Ltd. (EQDPWIRES)
DQE,DQ Entertainment (International) Ltd. (EQDQE)
DRCSYSTEMS,DRC Systems India Ltd. (EQDRCSYSTEMS)
DRDATSONS,Dr. Datsons Labs Ltd (EQDRDATSONS)
DREDGECORP,Dredging Corporation of India Ltd. (EQDREDGECORP)
DRREDDY,Dr. Reddy`s Laboratories Ltd. (EQDRREDDY)
DRSTAN,Standard Chartered plc (DRSTAN)
DSKULKARNI,D.S. Kulkarni Developers Ltd. (EQDSKULKARNI)
DSSL,Dynacons Systems & Solutions Ltd. (EQDSSL)
DTIL,Dhunseri Tea & Industries Ltd (EQDTIL)
DUCON,Ducon Infratechnologies Ltd. (EQDUCON)
DUNCANSLTD,Duncans Industries Ltd. (EQDUNCANSLTD)
DVL,Dhunseri Ventures Ltd. (EQDVL)
DWARKESH,Dwarikesh Sugar Industries Ltd. (EQDWARKESH)
DYNAMATECH,Dynamatic Technologies Ltd. (EQDYNAMATECH)
DYNPRO,Dynemic Products Ltd. (EQDYNPRO)
E1ABAN,Aban Offshore Ltd. (E1ABAN)
E1ABFRLPP1,Aditya Birla Fashion & Retail Ltd. (E1ABFRLPP1)
E1ALOKTEXT,Alok Industries Ltd. (E1ALOKTEXT)
E1BHUSANSTL,Bhushan Steel Ltd (E1BHUSANSTL)
E1CUB,City Union Bank Ltd. (E1CUB)
E1DHANIPP,Dhani Services Ltd. (E1DHANIPP)
E1HATSUN,Hatsun Agro Products Ltd. (E1HATSUN)
E1IBN18,TV18 Broadcast Ltd (E1IBN18)
E1MOLDTEKPP,Moldtek Packaging Ltd (E1MOLDTEKPP)
E1ORIENTPPR,Orient Paper & Industries Ltd. (E1ORIENTPPR)
E1OUDHSUG,Oudh Sugar Mills Ltd. (E1OUDHSUG)
E1RELIANCEPP,Reliance Industries Ltd. (E1RELIANCEPP)
E1RUSHILPP1,Rushil Decor Ltd (E1RUSHILPP1)
E1SATINPP,Satin Creditcare Network Ltd (E1SATINPP)
E1SPARC,Sun Pharma Advanced Research Co. Ltd (E1SPARC)
E1TATASTLPP,Tata Steel Ltd. (E1TATASTLPP)
E1TV_18,Television Eighteen India Ltd. (E1TV-18)
E1VIDEOIND,Videocon Industries Ltd. (E1VIDEOIND)
E1WWIL,Siti Cable Network Ltd. (E1WWIL)
E2CUB,City Union Bank Ltd. (E2CUB)
E2DISHTV,Dish TV India Ltd (E2DISHTV)
E2HINDALC0,Hindalco Industries Ltd. (E2HINDALC0)
E2ICICIBANK,ICICI Bank Ltd. (E2ICICIBANK)
E2LAKSHVILAS,LAKSHMI VIL-PPD UP RS.5 (E2LAKSHVILAS)
E2TV_18,Television Eighteen India Ltd. (E2TV-18)
E3ELGIEQUIP,Elgi Equipments Ltd. (E3ELGIEQUIP)
E3ELGIEQUIP_1,Elgi Equipments Ltd. (E3ELGIEQUIP)
E3KARURVYSYA,Karur Vysya Bank Ltd. (E3KARURVYSYA)
E4KARURVYSYA,Karur Vysya Bank Ltd. (E4KARURVYSYA)
E5KARURVYSYA,Karur Vysya Bank Ltd. (E5KARURVYSYA)
EASEMYTRIP,Easy Trip Planners Limited (EQEASEMYTRIP)
EASTSILK,Eastern Silk Industries Ltd. (EQEASTSILK)
EASUNREYRL,Easun Reyrolle Ltd. (EQEASUNREYRL)
EBANK,Edelweiss Asset Management Ltd. (EQEBANK)
EBBETF0423,Edelweiss Asset Management Ltd. (EQEBBETF0423)
EBBETF0425,Edelweiss Asset Management Ltd. (EQEBBETF0425)
EBBETF0430,Edelweiss Asset Management Ltd. (EQEBBETF0430)
EBBETF0431,Edelweiss Asset Management Ltd. (EQEBBETF0431)
EBIXFOREX,Ebixcash World Money India Ltd. (EQEBIXFOREX)
ECEIND,ECE Industries Ltd. (EQECEIND)
ECLERX,eClerx Services Ltd. (EQECLERX)
EDELWEISS,Edelweiss Financial Services Ltd (EQEDELWEISS)
EDL,Empee Distilleries Ltd. (EQEDL)
EDSERV,Edserv Softsystems Limited (EQEDSERV)
EDUCOMP,Educomp Solutions Ltd. (EQEDUCOMP)
EICHER,Eicher Ltd. (EQEICHER)
EICHERMOT,Eicher Motors Ltd. (EQEICHERMOT)
EIDPARRY,E.I.D.-Parry (India) Ltd. (EQEIDPARRY)
EIHAHOTELS,EIH Associated Hotels Ltd. (EQEIHAHOTELS)
EIHOTEL,EIH Ltd. (EQEIHOTEL)
EIH_RE,EIH Ltd. (EQEIH-RE)
EIMCOELECO,Eimco Elecon (India) Ltd. (EQEIMCOELECO)
EKC,Everest Kanto Cylinder Ltd. (EQEKC)
ELAND,E-Land Apparel Ltd. (EQELAND)
ELDERPHARM,Elder Pharmaceuticals Ltd. (EQELDERPHARM)
ELECON,Elecon Engineering Co. Ltd. (EQELECON)
ELECTCAST,Electrosteel Castings Ltd. (EQELECTCAST)
ELECTHERM,Electrotherm (India) Ltd. (EQELECTHERM)
ELECTROSL,Electrosteel Steels Ltd (EQELECTROSL)
ELFORGE,El Forge Ltd. (EQELFORGE)
ELGIEQUIP,Elgi Equipments Ltd. (EQELGIEQUIP)
ELGIRUBBER,Elgi Rubber Company Ltd (EQELGIRUBBER)
ELGIRUBCO,Elgi Rubber Co Ltd (EQELGIRUBCO)
ELNET,Elnet Technologies Ltd. (EQELNET)
EMAMILTD,Emami Ltd. (EQEMAMILTD)
EMAMIPAP,Emami Paper Mills Ltd (EQEMAMIPAP)
EMAMIREAL,Emami Realty Ltd. (EQEMAMIREAL)
EMCO,Emco Ltd. (EQEMCO)
EMKAY,Emkay Global Financial Services Ltd (EQEMKAY)
EMMBI,Emmbi Industries Ltd (EQEMMBI)
EMPEESUG,Empee Sugars & Chemicals Ltd. (EQEMPEESUG)
ENDURANCE,Endurance Technologies Ltd (EQENDURANCE)
ENERGYDEV,Energy Development Co. Ltd. (EQENERGYDEV)
ENGINERSIN,Engineers India Ltd. (EQENGINERSIN)
ENIL,Entertainment Network (India) Ltd. (EQENIL)
ENTEGRA,Entegra Ltd. (EQENTEGRA)
EON,Eon Electric Ltd (EQEON)
EPL,EPL Ltd. (EQEPL)
EQ30,Edelweiss Asset Management Ltd. (EQEQ30)
EQUITAS,Equitas Holding Ltd (EQEQUITAS)
EQUITASBNK,Equitas Small Finance Bank Ltd (EQEQUITASBNK)
ERAINFRA,Era Infra Engineering Ltd. (EQERAINFRA)
ERIS,Eris Lifesciences Ltd. (EQERIS)
EROSMEDIA,Eros International Media Ltd (EQEROSMEDIA)
ESABINDIA,ESAB India Ltd. (EQESABINDIA)
ESCORTS,Escorts Ltd. (EQESCORTS)
ESSAROIL,Essar Oil Ltd. (EQESSAROIL)
ESSARPORTS,Essar Ports Ltd (EQESSARPORTS)
ESSARSHIP,Essar Ports Ltd (EQESSARSHIP)
ESSARSHPNG,Essar Shipping Ltd (EQESSARSHPNG)
ESSDEE,Ess Dee Aluminium Ltd. (EQESSDEE)
ESTER,Ester Industries Ltd. (EQESTER)
ESTL,Essar Steel Ltd. (EQESTL)
ETC,ETC Network Ltd. (EQETC)
EUROCERA,Euro Ceramics Ltd. (EQEUROCERA)
EUROMULTI,Euro Multivision Ltd (EQEUROMULTI)
EUROTEXIND,Eurotex Industries & Exports Ltd. (EQEUROTEXIND)
EVEREADY,Eveready Industries India Ltd. (EQEVEREADY)
EVERESTIND,Everest Industries Ltd. (EQEVERESTIND)
EVERONN,Everonn Education Ltd (EQEVERONN)
EVINIX,Evinix Industries Ltd. (EQEVINIX)
EXCEL,Excel Realty N Infra Ltd (EQEXCEL)
EXCELCROP,Excel Crop Care Ltd. (EQEXCELCROP)
EXCELINDUS,Excel Industries Ltd. (EQEXCELINDUS)
EXIDEIND,Exide Industries Ltd. (EQEXIDEIND)
EXPLEOSOL,Expleo Solutions Ltd. (EQEXPLEOSOL)
FACT,Fertilisers & Chemicals Travancore Ltd. (EQFACT)
FAIRCHEMOR,Fairchem Organics Ltd. (EQFAIRCHEMOR)
FAME,Fame India Ltd (EQFAME)
FARMAXIND,Farmax India Ltd (EQFARMAXIND)
FCL,Fineotex Chemical Ltd (EQFCL)
FCONSUMER,Future Consumer Ltd (EQFCONSUMER)
FCSSOFT,FCS Software Solutions Ltd. (EQFCSSOFT)
FDC,FDC Ltd. (EQFDC)
FEDDERELEC,Fedders Electric & Engineering Ltd (EQFEDDERELEC)
FEDERALBNK,Federal Bank Ltd. (EQFEDERALBNK)
FEL,Future Enterprises Ltd. (EQFEL)
FELDVR,Future Enterprises Ltd. (EQFELDVR)
FIEMIND,Fiem Industries Ltd. (EQFIEMIND)
FILATEX,Filatex India Ltd. (EQFILATEX)
FINCABLES,Finolex Cables Ltd. (EQFINCABLES)
FINEORG,Fine Organic Industries Ltd. (EQFINEORG)
FINPIPE,Finolex Industries Ltd. (EQFINPIPE)
FIRSTLEASE,First Leasing Co. of India Ltd. (EQFIRSTLEASE)
FIRSTWIN,First Winner Industries Ltd (EQFIRSTWIN)
FKONCO,Fresenius Kabi Oncology Ltd (EQFKONCO)
FLEX,Uflex Ltd. (EQFLEX)
FLEXITUFF,Flexituff Ventures International Limited (EQFLEXITUFF)
FLFL,Future Lifestyle Fashions Ltd (EQFLFL)
FLUOROCHEM,Gujarat Fluorochemicals Ltd (EQFLUOROCHEM)
FMGOETZE,Federal Mogul Goetze (India) Ltd. (EQFMGOETZE)
FMNL,Future Market Networks Ltd (EQFMNL)
FORCEMOT,Force Motors Ltd. (EQFORCEMOT)
FORTIS,Fortis Healthcare Ltd (EQFORTIS)
FOSECOIND,Foseco India Ltd. (EQFOSECOIND)
FRETAIL,Future Retail Ltd. (EQFRETAIL)
FSC,Future Supply Chain Solutions Ltd. (EQFSC)
FSL,Firstsource Solutions Ltd. (EQFSL)
FTCPOF3YDV,FRANK. TEMP. CPF 3YD (EQFTCPOF3YDV)
FTCPOF3YDV_2,(EQFTCPOF3YDV)
FTCPOF3YGR,FRANK. TEMP. CPF 3YG (EQFTCPOF3YGR)
FTCPOF3YGR_2,(EQFTCPOF3YGR)
FTCPOF5YDV,FRANK. TEMP. CPF 5YD (EQFTCPOF5YDV)
FTCPOF5YDV_1,(EQFTCPOF5YDV)
FTCPOF5YGR,FRANK. TEMP. CPF 5YG (EQFTCPOF5YGR)
FTCPOF5YGR_1,(EQFTCPOF5YGR)
FTCSF3YDIV,FRANK. TEMP. CSF 3YD (EQFTCSF3YDIV)
FTCSF3YDIV_2,(EQFTCSF3YDIV)
FTCSF3YGRO,FRANK. TEMP. CSF 3YG (EQFTCSF3YGRO)
FTCSF3YGRO_2,(EQFTCSF3YGRO)
FTCSF5YDIV,FRANK. TEMP. CSF 5YD (EQFTCSF5YDIV)
FTCSF5YDIV_1,(EQFTCSF5YDIV)
FTCSF5YGRO,FRANK. TEMP. CSF 5YG (EQFTCSF5YGRO)
FTCSF5YGRO_1,(EQFTCSF5YGRO)
G5,Motilal Oswal Asset Management Company Limited (EQG5)
GABRIEL,Gabriel India Ltd. (EQGABRIEL)
GAEL,Gujarat Ambuja Exports Ltd. (EQGAEL)
GAIL,Gail (India) Ltd. (EQGAIL)
GAL,Gyscoal Alloys Ltd (EQGAL)
GALAXYSURF,Galaxy Surfactants Ltd. (EQGALAXYSURF)
GALLANTT,Gallantt Metal Ltd. (EQGALLANTT)
GALLISPAT,Gallantt Ispat Ltd (EQGALLISPAT)
GAMMNINFRA,Gammon Infrastructure Projects Ltd (EQGAMMNINFRA)
GAMMONIND,Gammon India Ltd. (EQGAMMONIND)
GANDHITUBE,Gandhi Special Tubes Ltd. (EQGANDHITUBE)
GANECOS,Ganesha Ecosphere Ltd (EQGANECOS)
GANESHHOUC,Ganesh Housing Corporation Ltd. (EQGANESHHOUC)
GANGESSECU,Ganges Securities Ltd. (EQGANGESSECU)
GANGOTRI,Gangotri Textiles Ltd. (EQGANGOTRI)
GARDENSILK,Garden Silk Mills Ltd. (EQGARDENSILK)
GARFIBRES,Garware Technical Fibres Ltd. (EQGARFIBRES)
GATI,Gati Ltd. (EQGATI)
GAYAHWS,Gayatri Highways Ltd. (EQGAYAHWS)
GAYAPROJ,Gayatri Projects Ltd. (EQGAYAPROJ)
GB,(GB)
GBGBNOV23,2.75% GOLDBONDS 2023 TR-1 (GBGBNOV23)
GBGLOBAL,GB Global Ltd. (EQGBGLOBAL)
GBSGBAUG24,India (GBSGBAUG24)
GBSGBDEC25,India (GBSGBDEC25)
GBSGBDEC2512,India (GBSGBDEC2512)
GBSGBDEC2512_1,(GBSGBDEC2512)
GBSGBDEC2513,India (GBSGBDEC2513)
GBSGBDEC25_2,(GBSGBDEC25)
GBSGBDEC25XI,India (GBSGBDEC25XI)
GBSGBFEB24,India (GBSGBFEB24)
GBSGBJAN26,India (GBSGBJAN26)
GBSGBJUL25,India (GBSGBJUL25)
GBSGBMAR24,India (GBSGBMAR24)
GBSGBMAR25,India (GBSGBMAR25)
GBSGBMAY25,India (GBSGBMAY25)
GBSGBMAY26,India (GBSGBMAY26)
GBSGBMAY26_1,(GBSGBMAY26)
GBSGBNOV23,India (GBSGBNOV23)
GBSGBNOV24,India (GBSGBNOV24)
GBSGBNOV25,India (GBSGBNOV25)
GBSGBNOV258,India (GBSGBNOV258)
GBSGBNOV258_2,(GBSGBNOV258)
GBSGBNOV25IX,India (GBSGBNOV25IX)
GBSGBNOV25VI,India (GBSGBNOV25VI)
GBSGBOCT25,India (GBSGBOCT25)
GBSGBOCT25_2,(GBSGBOCT25)
GBSGBOCT25IV,India (GBSGBOCT25IV)
GBSGBOCT25IV_2,(GBSGBOCT25IV)
GBSGBOCT25V,India (GBSGBOCT25V)
GBSGBSEP24,India (GBSGBSEP24)
GDL,Gateway Distriparks Ltd. (EQGDL)
GDL_RE,Gateway Distriparks Ltd. (EQGDL-RE)
GEECEE,GeeCee Ventures Ltd (EQGEECEE)
GEEKAYWIRE,Geekay Wires Ltd. (EQGEEKAYWIRE)
GEINDSYS,GEI Industrial Systems Ltd. (EQGEINDSYS)
GEMINI,Gemini Communications Ltd. (EQGEMINI)
GENCON,Generic Engineering Construction & Projects Ltd. (EQGENCON)
GENESYS,Genesys International Corporation Ltd. (EQGENESYS)
GENUSPAPER,Genus Paper & Boards Ltd. (EQGENUSPAPER)
GENUSPOWER,Genus Power Infrastructures Ltd (EQGENUSPOWER)
GEODESIC,Geodesic Ltd (EQGEODESIC)
GEOJITFSL,Geojit Financial Services Ltd. (EQGEOJITFSL)
GEOJITFSL_1,GEOJIT FINANCIAL SER L (EQGEOJITFSL)
GEOMETRIC,Geometric Ltd. (EQGEOMETRIC)
GEPIL,GE Power India Ltd (EQGEPIL)
GESHIP,Great Eastern Shipping Co. Ltd. (EQGESHIP)
GET_D,GE T&D India Ltd. (EQGET&D)
GFLLIMITED,GFL Ltd. (EQGFLLIMITED)
GFSTEELS,Grand Foundry Ltd. (EQGFSTEELS)
GHCL,GHCL Ltd. (EQGHCL)
GICHSGFIN,GIC Housing Finance Ltd. (EQGICHSGFIN)
GICRE,General Insurance Corporation of India (EQGICRE)
GILLANDERS,Gillanders Arbuthnot & Co. Ltd. (EQGILLANDERS)
GILLETTE,Gillette India Ltd. (EQGILLETTE)
GINNIFILA,Ginni Filaments Ltd. (EQGINNIFILA)
GIPCL,Gujarat Industries Power Co. Ltd. (EQGIPCL)
GISOLUTION,GI Engineering Solutions Ltd. (EQGISOLUTION)
GITANJALI,Gitanjali Gems Ltd. (EQGITANJALI)
GKB,GKB Ophthalmics Ltd. (EQGKB)
GKWLIMITED,GKW Ltd. (EQGKWLIMITED)
GLAND,Gland Pharma Ltd. (EQGLAND)
GLAXO,GlaxoSmithkline Pharmaceuticals Ltd (EQGLAXO)
GLENMARK,Glenmark Pharmaceuticals Ltd. (EQGLENMARK)
GLFL,Gujarat Lease Financing Ltd. (EQGLFL)
GLOBAL,Global Education Ltd. (EQGLOBAL)
GLOBALVECT,Global Vectra Helicorp Ltd. (EQGLOBALVECT)
GLOBE,Globe Textile (India) Ltd (EQGLOBE)
GLOBOFFS,Global Offshore Services Ltd (EQGLOBOFFS)
GLOBUSSPR,Globus Spirits Ltd (EQGLOBUSSPR)
GLODYNE,Glodyne Technoserve Ltd (EQGLODYNE)
GLORY,Glory Films Ltd (EQGLORY)
GMBREW,G.M. Breweries Ltd. (EQGMBREW)
GMDCLTD,Gujarat Mineral Development Corporation Ltd. (EQGMDCLTD)
GMMPFAUDLR,GMM Pfaudler Ltd. (EQGMMPFAUDLR)
GMRINFRA,GMR Infrastructure Ltd. (EQGMRINFRA)
GNA,G N A Axles Ltd. (EQGNA)
