ticker,issuer_name
AMBUJACEM,Ambuja Cements Ltd (EQAMBUJACEM)
AMDIND,AMD Industries Ltd. (EQAMDIND)
AMJLAND,AMJ Land Holdings Ltd. (EQAMJLAND)
AMLSTEEL,AML Steel Ltd. (EQAMLSTEEL)
AMRUTANJAN,Amrutanjan Health Care Ltd (EQAMRUTANJAN)
AMTEKAUTO,Amtek Auto Ltd. (EQAMTEKAUTO)
AMTL,Advance Metering Technology Ltd (EQAMTL)
ANANTRAJ,Anant Raj Ltd. (EQANANTRAJ)
ANDHRABANK,Andhra Bank (EQANDHRABANK)
ANDHRACEMT,Andhra Cements Ltd. (EQANDHRACEMT)
ANDHRAPAP,Andhra Paper Ltd. (EQANDHRAPAP)
ANDHRSUGAR,Andhra Sugars Ltd. (EQANDHRSUGAR)
ANGELBRKG,Angel Broking Ltd. (EQANGELBRKG)
ANGIND,ANG Industries Ltd (EQANGIND)
ANIKINDS,Anik Industries Ltd. (EQANIKINDS)
ANKITMETAL,Ankit Metal & Power Ltd. (EQANKITMETAL)
ANKURDRUGS,Ankur Drugs & Pharma Ltd. (EQANKURDRUGS)
ANSALAPI,Ansal Properties & Infrastructure Ltd. (EQANSALAPI)
ANSALHSG,Ansal Housing Ltd. (EQANSALHSG)
ANTGRAPHIC,Antarctica Ltd. (EQANTGRAPHIC)
ANUP,Anup Engineering Ltd. (EQANUP)
APARINDS,Apar Industries Ltd. (EQAPARINDS)
APCL,Anjani Portland Cement Ltd. (EQAPCL)
APCOTEXIND,Apcotex Industries Ltd (EQAPCOTEXIND)
APEX,Apex Frozen Foods Ltd. (EQAPEX)
APLAB,Aplab Ltd. (EQAPLAB)
APLAPOLLO,APL Apollo Tubes Ltd. (EQAPLAPOLLO)
APLLTD,Alembic Pharmaceuticals Ltd (EQAPLLTD)
APOLLO,Apollo Micro Systems Ltd. (EQAPOLLO)
APOLLOHOSP,Apollo Hospitals Enterprises Ltd. (EQAPOLLOHOSP)
APOLLOPIPE,Apollo Pipes Ltd. (EQAPOLLOPIPE)
APOLLOTYRE,Apollo Tyres Ltd. (EQAPOLLOTYRE)
APOLSINHOT,Apollo Sindoori Hotels Ltd. (EQAPOLSINHOT)
APTECHT,Aptech Ltd. (EQAPTECHT)
AQUA,Aqua Logistics Limited (EQAQUA)
ARCHIDPLY,Archidply Industries Ltd (EQARCHIDPLY)
ARCHIES,Archies Ltd. (EQARCHIES)
ARCOTECH,Arcotech Ltd. (EQARCOTECH)
ARENTERP,Rajdarshan Industries Ltd. (EQARENTERP)
ARIES,Aries Agro Ltd. (EQARIES)
ARIHANT,Arihant Foundations & Housing Ltd. (EQARIHANT)
ARIHANTSUP,Arihant Superstructures Ltd (EQARIHANTSUP)
ARMANFIN,Arman Financial Services Ltd (EQARMANFIN)
AROGRANITE,Aro Granite Industries Ltd. (EQAROGRANITE)
ARROWGREEN,Arrow Greentech Ltd. (EQARROWGREEN)
ARROWTEX,Arrow Textile Ltd (EQARROWTEX)
ARSHIYA,Arshiya Ltd (EQARSHIYA)
ARSSINFRA,ARSS Infrastructure Projects Ltd. (EQARSSINFRA)
ARTEMISMED,Artemis Medicare Services Ltd. (EQARTEMISMED)
ARVEE,Arvee Laboratories (India) Ltd. (EQARVEE)
ARVEE_1,Arvee Laboratories (India) Ltd. (EQARVEE)
ARVIND,Arvind Ltd. (EQARVIND)
ARVINDFASN,Arvind Fashions Ltd. (EQARVINDFASN)
ARVINDF_RE,Arvind Fashions Ltd. (EQARVINDF-RE)
ARVINDREM,Arvind Remedies Ltd. (EQARVINDREM)
ARVSMART,Arvind SmartSpaces Ltd. (EQARVSMART)
ASAHIINDIA,Asahi India Glass Ltd. (EQASAHIINDIA)
ASAHISONG,Asahi Songwon Colors Ltd. (EQASAHISONG)
ASAL,Automotive Stampings & Assemblies Ltd. (EQASAL)
ASALCBR,Associated Alcohols & Breweries Ltd. (EQASALCBR)
ASHAPURMIN,Ashapura Minechem Ltd. (EQASHAPURMIN)
ASHCONIUL,Ashco Niulab Industries Ltd (EQASHCONIUL)
ASHIANA,Ashiana Housing Ltd. (EQASHIANA)
ASHIMASYN,Ashima Ltd. (EQASHIMASYN)
ASHOKA,Ashoka Buildcon Ltd (EQASHOKA)
ASHOKLEY,Ashok Leyland Ltd. (EQASHOKLEY)
ASIANELEC,Asian Electronics Ltd. (EQASIANELEC)
ASIANHOTNR,Asian Hotels (North) Ltd. (EQASIANHOTNR)
ASIANPAINT,Asian Paints Ltd. (EQASIANPAINT)
ASIANTILES,Asian Granito India Ltd. (EQASIANTILES)
ASIL,Amit Spinning Industries Ltd. (EQASIL)
ASPINWALL,Aspinwall & Co. Ltd (EQASPINWALL)
ASSAMCO,Assam Co. India Ltd (EQASSAMCO)
ASTEC,Astec Lifesciences Limited (EQASTEC)
ASTERDM,Aster DM Healthcare Ltd (EQASTERDM)
ASTRAIDL,AstraZeneca Pharma India Ltd. (EQASTRAIDL)
ASTRAL,Astral Poly Technik Ltd. (EQASTRAL)
ASTRAMICRO,Astra Microwave Products Ltd. (EQASTRAMICRO)
ASTRAZEN,AstraZeneca Pharma India Ltd. (EQASTRAZEN)
ASTRON,Astron Paper & Board Mill Ltd. (EQASTRON)
ATFL,Agro Tech Foods Ltd. (EQATFL)
ATGL,Adani Total Gas Ltd. (EQATGL)
ATLANTA,Atlanta Ltd. (EQATLANTA)
ATLASCYCLE,Atlas Cycles(Haryana) Ltd. (EQATLASCYCLE)
ATNINTER,ATN International Ltd. (EQATNINTER)
ATUL,Atul Ltd. (EQATUL)
ATULAUTO,Atul Auto Ltd. (EQATULAUTO)
AUBANK,AU Small Finance Bank Limited (EQAUBANK)
AURIONPRO,Aurionpro Solutions Ltd. (EQAURIONPRO)
AUROPHARMA,Aurobindo Pharma Ltd. (EQAUROPHARMA)
AUSOMENT,Ausom Enterprise Ltd (EQAUSOMENT)
AUSTRAL,Greenearth Resources & Projects Ltd. (EQAUSTRAL)
AUTOAXLES,Automotive Axles Ltd. (EQAUTOAXLES)
AUTOIND,Autoline Industries Ltd. (EQAUTOIND)
AUTOLITIND,Autolite (India) Ltd. (EQAUTOLITIND)
AVADHSUGAR,Avadh Sugar & Energy Ltd. (EQAVADHSUGAR)
AVANTIFEED,Avanti Feeds Ltd. (EQAVANTIFEED)
AVTNPL,AVT Natural Products Ltd. (EQAVTNPL)
AWHCL,Antony Waste Handling Cell Ltd. (EQAWHCL)
AXISBANK,Axis Bank Ltd (EQAXISBANK)
AXISBNKETF,Axis Asset Management Company Limited (EQAXISBNKETF)
AXISCADES,AXISCADES Technologies Ltd. (EQAXISCADES)
AXISGOLD,Axis Asset Management Company Limited (EQAXISGOLD)
AXISNIFTY,Axis Asset Management Company Limited (EQAXISNIFTY)
AYMSYNTEX,AYM Syntex Ltd. (EQAYMSYNTEX)
AZTECSOFT,Aztecsoft Ltd (EQAZTECSOFT)
BAFNAPH,Bafna Pharmaceuticals Ltd (EQBAFNAPH)
BAGFILMS,B.A.G. Films & Media Ltd. (EQBAGFILMS)
BAJAJ_AUTO,Bajaj Auto Ltd (EQBAJAJ-AUTO)
BAJAJCON,Bajaj Consumer Care Ltd. (EQBAJAJCON)
BAJAJELEC,Bajaj Electricals Ltd. (EQBAJAJELEC)
BAJAJFINSV,Bajaj Finserv Ltd (EQBAJAJFINSV)
BAJAJHIND,Bajaj Hindusthan Sugar Ltd. (EQBAJAJHIND)
BAJAJHLDNG,Bajaj Holdings & Investment Ltd (EQBAJAJHLDNG)
BAJFINANCE,Bajaj Finance Ltd (EQBAJFINANCE)
BALAJITELE,Balaji Telefilms Ltd. (EQBALAJITELE)
BALAMINES,Balaji Amines Ltd. (EQBALAMINES)
BALASTEELS,Shri Ramrupai Balaji Steels Ltd. (EQBALASTEELS)
BALAXI,Balaxi Pharmaceuticals Ltd. (EQBALAXI)
BALKRISHNA,Balkrishna Paper Mills Ltd. (EQBALKRISHNA)
BALKRISIND,Balkrishna Industries Ltd. (EQBALKRISIND)
BALLARPUR,Ballarpur Industries Ltd. (EQBALLARPUR)
BALMLAWRIE,Balmer Lawrie & Co. Ltd. (EQBALMLAWRIE)
BALPHARMA,Bal Pharma Ltd. (EQBALPHARMA)
BALRAMCHIN,Balrampur Chini Mills Ltd. (EQBALRAMCHIN)
BANARBEADS,Banaras Beads Ltd. (EQBANARBEADS)
BANARISUG,Bannari Amman Sugars Ltd. (EQBANARISUG)
BANCOINDIA,Banco Products (India) Ltd. (EQBANCOINDIA)
BANDHANBNK,Bandhan Bank Ltd (EQBANDHANBNK)
BANG,Bang Overseas Ltd (EQBANG)
BANKA,Banka BioLoo Ltd. (EQBANKA)
BANKBARODA,Bank of Baroda (EQBANKBARODA)
BANKBEES,Nippon Life India Asset Management Ltd. (EQBANKBEES)
BANKINDIA,Bank of India (EQBANKINDIA)
