,Date,Open,High,Low,Close,Adj Close,Volume
0,1997-07-01,4263.109863000001,4301.77002,4247.660156,4300.859863000001,4300.859863000001,0.0
1,1997-07-02,4302.959961,4395.310059,4295.399902,4333.899902,4333.899902,0.0
2,1997-07-03,4335.790039,4393.290039,4299.970215,4323.459961,4323.459961,0.0
3,1997-07-04,4332.700195,4347.589844,4300.580078,4323.819824,4323.819824,0.0
4,1997-07-07,4326.810059,4391.009765999999,4289.490234000001,4291.450195,4291.450195,0.0
5,1997-07-08,4285.649902,4313.0,4252.490234000001,4306.390136999999,4306.390136999999,0.0
6,1997-07-09,4315.419922,4404.830078,4315.419922,4404.689941,4404.689941,0.0
7,1997-07-10,4413.390136999999,4448.060059,4376.109863000001,4378.370117,4378.370117,0.0
8,1997-07-11,4372.75,4372.75,4301.930176,4321.97998,4321.97998,0.0
9,1997-07-14,4251.700195,4251.700195,4182.419922,4225.02002,4225.02002,0.0
10,1997-07-15,4229.890136999999,4261.029785,4204.720215,4221.02002,4221.02002,0.0
11,1997-07-16,4232.529785,4263.259765999999,4171.0,4183.419922,4183.419922,0.0
12,1997-07-17,4183.910156,4202.310059,4152.259765999999,4193.609863000001,4193.609863000001,0.0
13,1997-07-18,4174.720215,4193.720215,4115.72998,4124.810059,4124.810059,0.0
14,1997-07-21,4134.080078,4155.5,4105.279785,4154.279785,4154.279785,0.0
15,1997-07-22,4161.939941,4189.819824,4145.649902,4186.290039,4186.290039,0.0
16,1997-07-23,4204.830078,4258.600098,4182.319824,4251.129883,4251.129883,0.0
17,1997-07-24,4264.930176,4294.950195,4223.609863000001,4226.370117,4226.370117,0.0
18,1997-07-25,4218.290039,4222.72998,4159.0,4189.810059,4189.810059,0.0
19,1997-07-28,4191.910156,4197.209961,4163.529785,4181.47998,4181.47998,0.0
20,1997-07-29,4180.589844,4218.97998,4171.109863000001,4217.580078,4217.580078,0.0
21,1997-07-30,4230.799805,4253.810059,4220.180176,4244.890136999999,4244.890136999999,0.0
22,1997-07-31,4252.370117,4331.580078,4245.52002,4305.759765999999,4305.759765999999,0.0
23,1997-08-01,4322.189941,4356.549805,4314.060059,4347.319824,4347.319824,0.0
24,1997-08-04,4392.470215,4478.189941,4392.470215,4465.370117,4465.370117,0.0
25,1997-08-05,4477.5,4548.790039,4477.5,4548.02002,4548.02002,0.0
26,1997-08-06,4568.390136999999,4605.410156,4505.060059,4523.009765999999,4523.009765999999,0.0
27,1997-08-07,4527.910156,4546.910156,4439.47998,4447.060059,4447.060059,0.0
28,1997-08-08,4460.22998,4467.180176,4373.200195,4397.540039,4397.540039,0.0
29,1997-08-11,4434.02002,4482.509765999999,4423.689941,4481.299805,4481.299805,0.0
30,1997-08-12,4496.799805,4504.029785,4393.240234000001,4425.029785,4425.029785,0.0
31,1997-08-13,4419.339844,4419.339844,4353.319824,4370.129883,4370.129883,0.0
32,1997-08-14,4372.290039,4381.529785,4290.129883,4320.970215,4320.970215,0.0
